;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;15;500;Intraroute + TwoOpt;3987.0;823.7662249209643;3546.0;787.0818888551103;4760.0;773.1008733321136;4370.0;755.2233040022537;5637.0;753.7639493470708;5093.0;745.3936993138343;5998.0;1657.050677454537;5408.0;1630.4387048753022;11847.0;1400.5249261529596;10928.0;1381.578887448073;16594.0;1972.9222416148255;15999.0;1925.9920500936842;
TABU GRASP IMPROVED;15;500;Intraroute + Interroute + Relocation + TwoOpt;4903.0;814.5345258510202;4611.0;787.0818888551104;9181.0;772.411899205116;9000.0;757.6043402782333;11923.0;762.5953884519835;11385.0;745.8657558687684;17150.0;1685.3325629263666;15818.0;1647.659291104554;21863.0;1426.8127021460773;20685.0;1375.0651933993997;36480.0;2002.6581002887851;33622.0;1967.7156252568107;
TABU GRASP IMPROVED;15;500;Interroute + Relocation + Intraroute + TwoOpt;4152.0;835.9615156254183;3895.0;832.7327235539448;7542.0;783.3681853843427;7313.0;764.2282176905582;10903.0;772.98940020511;10540.0;760.152943964076;15956.0;1688.4192060368284;14883.0;1646.8704922023555;19351.0;1397.9175120172574;18611.0;1378.0541789105164;36894.0;1996.3014372467642;35125.0;1963.6135079197186;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;15;1000;Intraroute + TwoOpt;4014.0;835.1070330195495;3424.0;787.0818888551104;4744.0;771.7399581040929;4307.0;754.6970796180506;5625.0;763.5528809007944;5245.0;747.7278419603451;6140.0;1669.161924208749;5658.0;1631.3745453047363;11163.0;1403.6829592063636;10417.0;1375.4890780911724;16876.0;1956.3275012861825;16185.0;1893.6206740062923;
TABU GRASP IMPROVED;15;1000;Intraroute + Interroute + Relocation + TwoOpt;4750.0;842.286580410472;4593.0;810.3857193990754;8706.0;776.3869691384938;8368.0;766.3834787411946;12058.0;764.4365348464681;11461.0;747.5546620835743;17297.0;1678.3688953654128;16399.0;1642.2701105832605;21053.0;1396.4345432526727;20161.0;1339.5616417355302;36886.0;1980.0471448461176;35431.0;1936.333927933528;
TABU GRASP IMPROVED;15;1000;Interroute + Relocation + Intraroute + TwoOpt;4037.0;816.0985490609661;3635.0;788.6513399011251;8212.0;784.8686787222936;7699.0;768.322844541856;10755.0;776.1484182752496;10367.0;767.5089838045776;15569.0;1676.6796680905595;14820.0;1639.3506421591119;20154.0;1416.0029135163916;18728.0;1392.4428321789014;35133.0;1958.2410631984465;28195.0;1947.9995763518784;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;15;2000;Intraroute + TwoOpt;3798.0;830.196200983342;3289.0;819.1266588953944;4706.0;769.6010152176594;4291.0;760.7119324182393;5524.0;760.1908935269751;5134.0;756.9556602917132;6194.0;1670.7030007244848;5557.0;1649.7005696605968;11061.0;1408.842070787083;9942.0;1372.976241842817;17402.0;1943.0070948217895;16197.0;1900.0176663943698;
TABU GRASP IMPROVED;15;2000;Intraroute + Interroute + Relocation + TwoOpt;4775.0;840.4817522983722;4350.0;831.8445117215986;8710.0;777.5890976713388;8328.0;765.6855042497775;12094.0;767.6223417294395;11133.0;751.3726577243291;17176.0;1686.3995466451786;16520.0;1654.9567094914912;20480.0;1415.6191751339388;19252.0;1361.0133313604335;36007.0;1972.1779482525603;33584.0;1937.4080605034571;
TABU GRASP IMPROVED;15;2000;Interroute + Relocation + Intraroute + TwoOpt;4042.0;826.3575510174362;3728.0;788.3894649600855;7853.0;782.1293382818384;7332.0;771.3010381286831;11205.0;767.8042272292439;10638.0;758.7087222290348;15882.0;1693.3767615439137;15430.0;1644.7134333865677;19730.0;1424.8164170870562;18750.0;1386.023431089072;33591.0;1967.5038077707318;26186.0;1916.5211687245037;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;20;500;Intraroute + TwoOpt;3797.0;828.2165824979362;3458.0;801.9899187043503;4890.0;775.6266718182101;4719.0;762.4392036610326;5367.0;761.2995148673195;5010.0;746.6897044458785;6199.0;1674.455723945391;5794.0;1640.87577590851;11047.0;1397.5184917190313;10082.0;1367.2251514125705;17549.0;1945.808358557558;16703.0;1900.2093626356861;
TABU GRASP IMPROVED;20;500;Intraroute + Interroute + Relocation + TwoOpt;4773.0;834.1098210686621;4499.0;813.7231710154343;8582.0;779.3349977039159;7660.0;765.2668024222935;12173.0;773.9712101843934;11802.0;760.8988126321244;17295.0;1674.8403864917643;16489.0;1647.6149273397984;21066.0;1416.7403456899026;19738.0;1362.0725880534176;35243.0;1979.2607979662503;33127.0;1916.4486130054343;
TABU GRASP IMPROVED;20;500;Interroute + Relocation + Intraroute + TwoOpt;3882.0;836.4527857635164;3619.0;826.51893514538;7934.0;781.1966180826435;7425.0;775.745239634961;11619.0;767.9377285393145;10605.0;753.2266369558577;15463.0;1668.7181969037506;13766.0;1637.5259226243963;19295.0;1425.9759589719085;18265.0;1371.4988809875117;37082.0;1978.746433629661;34342.0;1956.8308114454105;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;20;1000;Intraroute + TwoOpt;4251.0;813.8156568016695;3792.0;788.9945930127802;4724.0;772.5486414012903;4333.0;753.4672497467164;5638.0;762.0232622328854;5460.0;744.3390151495399;6343.0;1676.1421830359773;5627.0;1635.2331026084385;11986.0;1411.8249539303388;10962.0;1369.2073575447125;18065.0;1922.8537264502052;17047.0;1831.0746942374956;
TABU GRASP IMPROVED;20;1000;Intraroute + Interroute + Relocation + TwoOpt;4735.0;824.6035007156321;4638.0;798.3332589228187;8866.0;770.6966922243076;8442.0;753.0166497589535;11997.0;771.2670119836002;11349.0;767.1768546185351;16721.0;1678.2747209088236;15990.0;1660.2708489035842;20489.0;1401.0386094778412;18440.0;1364.017652355909;37005.0;1942.1196585183886;35418.0;1913.893990973368;
TABU GRASP IMPROVED;20;1000;Interroute + Relocation + Intraroute + TwoOpt;4130.0;840.373794261854;3830.0;822.5480827109029;7573.0;780.2731327999102;7253.0;772.9228345635074;11216.0;771.7780111264412;10776.0;764.9703712905771;16048.0;1676.6581392655735;15292.0;1650.3340800756234;19343.0;1422.2541205694538;18033.0;1398.8391181812317;34869.0;1979.8730760305884;32599.0;1946.0322753130536;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;20;2000;Intraroute + TwoOpt;3817.0;818.6155818407798;3145.0;787.0818888551104;4637.0;777.8074891006783;4143.0;766.8077707455345;5758.0;762.3224272960936;5093.0;746.7929224737782;6293.0;1674.376874428522;5616.0;1632.786626843028;12212.0;1409.0904463837364;11371.0;1360.8837670657308;17447.0;1924.5461628052453;16312.0;1896.1544122670375;
TABU GRASP IMPROVED;20;2000;Intraroute + Interroute + Relocation + TwoOpt;4801.0;822.2411268473801;4504.0;787.8086948893184;8864.0;774.9736315215727;8796.0;756.2810153694596;11996.0;775.8836420088461;11344.0;751.0417569866667;16902.0;1666.3641049017328;15240.0;1637.4404838205496;21590.0;1429.6557540209806;19578.0;1408.0086045692253;35859.0;1990.2612976344913;34338.0;1965.7350322993384;
TABU GRASP IMPROVED;20;2000;Interroute + Relocation + Intraroute + TwoOpt;4106.0;815.267751733245;3653.0;787.2024006859946;7554.0;769.9786251775134;7135.0;753.582486704729;11218.0;768.8903893428793;11122.0;748.5046557199945;16024.0;1679.8334244638966;14721.0;1633.626283098125;19535.0;1412.2414940560857;19393.0;1364.3430670264074;33897.0;1998.326622370494;23970.0;1970.493381125913;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;25;500;Intraroute + TwoOpt;3871.0;841.5497906072299;3481.0;831.8445117215986;4760.0;771.5049871431165;4146.0;760.6333531681342;5806.0;758.5421892845525;5236.0;745.578182211624;5750.0;1675.3276157481432;5500.0;1638.0854814616937;11233.0;1397.7431874346432;10899.0;1378.5086469101266;17483.0;1937.602895588762;16407.0;1869.7584606457408;
TABU GRASP IMPROVED;25;500;Intraroute + Interroute + Relocation + TwoOpt;4629.0;831.0772107193243;4319.0;812.3538001114238;8579.0;777.6747543189689;8232.0;770.6114224518915;12150.0;761.248943430335;11458.0;750.3378421195089;17269.0;1685.979986546352;16697.0;1655.869859367567;20629.0;1407.8613777870862;19518.0;1378.5161113916045;35769.0;2001.3865165507154;35178.0;1959.9221489193308;
TABU GRASP IMPROVED;25;500;Interroute + Relocation + Intraroute + TwoOpt;4101.0;823.3248885390683;3799.0;791.6376076154019;7718.0;773.381166739734;7500.0;769.8101890139114;11160.0;767.8495123462022;10664.0;756.306150114037;16463.0;1668.4706865397886;15877.0;1649.8657052935912;19460.0;1413.954666679483;18956.0;1394.6568899232782;35635.0;2020.3802302700842;34809.0;1988.6897642232232;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;25;1000;Intraroute + TwoOpt;4015.0;809.4947185373173;3676.0;787.0818888551105;4786.0;771.1200336042966;4566.0;762.9257332735967;5545.0;752.8011824536219;4813.0;746.7685281943859;6109.0;1660.9253815975148;5651.0;1643.3182514571079;11785.0;1400.6450318063974;10939.0;1354.7349176806842;16920.0;1948.4581133102492;15891.0;1865.7364278954856;
TABU GRASP IMPROVED;25;1000;Intraroute + Interroute + Relocation + TwoOpt;4677.0;827.663162997184;4382.0;805.1208004319031;8957.0;773.5052166674127;8560.0;764.1619848571894;11928.0;764.3601700873169;11610.0;757.236968930275;17233.0;1668.9150031625163;16573.0;1640.4856733460963;21066.0;1406.9381609874956;20461.0;1370.7276734277261;35770.0;1982.4749758669318;34855.0;1943.240991356107;
TABU GRASP IMPROVED;25;1000;Interroute + Relocation + Intraroute + TwoOpt;4211.0;831.9998072569715;4117.0;818.5094958624759;7646.0;779.0308305905952;7178.0;758.7182597747624;11096.0;775.0020120219681;10304.0;766.4984981214732;15972.0;1679.1561104981251;15016.0;1638.2160610353576;20077.0;1431.2734975854491;19164.0;1404.450874928517;35906.0;1970.0560901588983;33272.0;1918.5107088595041;
;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;25;2000;Intraroute + TwoOpt;3836.0;833.5272486637502;3371.0;787.0818888551105;4980.0;772.9175368472709;4305.0;757.6239233260845;5678.0;760.0466099662128;5014.0;746.6897044458786;6238.0;1663.310591571741;5637.0;1627.7470578219506;10413.0;1406.9976215616562;9573.0;1377.348609027871;17333.0;1927.8148354455975;16455.0;1860.0186889203703;
TABU GRASP IMPROVED;25;2000;Intraroute + Interroute + Relocation + TwoOpt;4674.0;836.2279073148462;4507.0;810.6578834251469;8710.0;773.932452304812;7952.0;766.4534504760927;11743.0;769.4304390327351;11165.0;752.7722053751933;17279.0;1655.7681694589796;16584.0;1617.7063626163078;21476.0;1439.0923483779802;20156.0;1418.7219199645288;36499.0;2014.8997797562145;33950.0;1980.569092497035;
TABU GRASP IMPROVED;25;2000;Interroute + Relocation + Intraroute + TwoOpt;4019.0;834.8753220752993;3824.0;824.0943000974991;7786.0;778.727359574005;7583.0;769.3222016821413;11093.0;767.3413309100855;10675.0;746.9881732375758;15971.0;1690.7537719908946;15213.0;1664.5522834495766;19936.0;1401.695225121503;18840.0;1373.209813659913;34918.0;1968.08981839128;27080.0;1909.4645182021109;
